,schedule_season,schedule_month,schedule_week,Total_Score,over_under_line,Week_Day,Dome_Game,Over_Total_Score_Line,Number_States
482,2013,12,16,30.0,44.5,6,0,0,1
483,2013,12,16,56.0,47.5,6,0,1,1
484,2013,12,16,43.0,48.5,6,1,0,1
485,2013,12,16,69.0,44.5,6,0,1,1
486,2013,12,16,50.0,53.5,6,1,0,1
487,2013,12,16,36.0,44.0,6,0,0,1
488,2013,12,16,30.0,46.5,6,0,0,1
489,2013,12,16,37.0,42.0,6,0,0,1
490,2013,12,16,65.0,55.0,6,0,1,1
491,2013,12,16,39.0,51.0,6,0,0,1
492,2013,12,16,27.0,43.0,6,0,0,1
493,2013,12,16,36.0,43.0,6,1,0,1
494,2013,12,16,47.0,52.0,6,0,0,1
495,2013,12,16,58.0,46.0,0,0,1,1
496,2013,12,17,43.0,41.0,6,1,1,1
497,2013,12,17,41.0,46.5,6,1,0,1
498,2013,12,17,61.0,51.5,6,0,1,1
499,2013,12,17,51.0,42.5,6,0,1,1
500,2013,12,17,46.0,52.5,6,1,0,1
501,2013,12,17,40.0,45.0,6,1,0,1
502,2013,12,17,27.0,41.0,6,0,0,1
503,2013,12,17,27.0,49.5,6,1,0,1
504,2013,12,17,54.0,46.0,6,0,1,1
505,2013,12,17,59.0,46.5,6,1,1,1
506,2013,12,17,26.0,44.5,6,0,0,1
507,2013,12,17,48.0,53.5,6,0,0,1
508,2013,12,17,27.0,44.5,6,0,0,1
509,2013,12,17,51.0,45.0,6,0,1,1
510,2013,12,17,36.0,41.0,6,0,0,1
511,2013,12,17,26.0,44.5,6,0,0,1
512,2014,9,1,52.0,46.5,3,0,1,1
513,2014,9,1,71.0,52.0,6,1,1,1
514,2014,9,1,39.0,42.5,6,0,0,1
515,2014,9,1,43.0,47.0,6,0,0,1
516,2014,9,1,45.0,51.0,6,1,0,1
517,2014,9,1,55.0,55.0,6,0,0,1
518,2014,9,1,23.0,44.5,6,1,0,1
519,2014,9,1,36.0,44.0,6,0,0,1
520,2014,9,1,53.0,46.5,6,0,1,1
521,2014,9,1,33.0,40.5,6,0,0,1
522,2014,9,1,51.0,51.5,6,0,0,1
523,2014,9,1,57.0,41.0,6,0,1,1
524,2014,9,1,40.0,43.0,6,1,0,1
525,2014,9,1,34.0,37.5,6,0,0,1
526,2014,9,1,35.0,47.0,0,1,0,1
527,2014,9,1,49.0,47.0,0,1,1,1
528,2014,9,2,32.0,44.5,3,0,0,1
529,2014,9,2,39.0,43.0,6,0,0,1
530,2014,9,2,31.0,43.5,6,0,0,1
531,2014,9,2,34.0,49.0,6,0,0,1
532,2014,9,2,50.0,49.5,6,0,1,1
533,2014,9,2,41.0,49.0,6,0,0,1
534,2014,9,2,55.0,46.5,6,0,1,1
535,2014,9,2,37.0,49.0,6,0,0,1
536,2014,9,2,39.0,41.5,6,0,0,1
537,2014,9,2,44.0,42.0,6,0,1,1
538,2014,9,2,51.0,45.0,6,0,1,1
539,2014,9,2,48.0,47.5,6,0,1,1
540,2014,9,2,36.0,37.5,6,0,0,1
541,2014,9,2,36.0,49.5,6,0,0,1
542,2014,9,2,51.0,43.0,6,0,1,1
543,2014,9,2,57.0,54.0,0,1,1,1
544,2014,9,3,70.0,47.0,3,1,1,1
545,2014,9,3,37.0,41.0,6,1,0,1
546,2014,9,3,32.0,45.5,6,0,0,1
